epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.541,1.42172,2.4212,1.35013,0.37225,0.33184,0.28334,0.15928,1.44918,2.81184,1.30255,0.000661064,0.000661064,0.000661064
2,348.489,1.53095,1.97797,1.42782,0.4055,0.36996,0.27312,0.14202,1.72394,2.52416,1.50201,0.00131459,0.00131459,0.00131459
3,519.143,1.59953,1.87906,1.48257,0.65387,0.43049,0.47823,0.23533,1.56703,2.94258,1.39179,0.00195491,0.00195491,0.00195491
4,705.605,1.56698,1.73087,1.46152,0.65161,0.54933,0.58747,0.32282,1.47929,2.28143,1.3333,0.0019406,0.0019406,0.0019406
5,894.934,1.51676,1.63695,1.42788,0.60971,0.57175,0.60887,0.35217,1.43012,1.62962,1.26997,0.0019208,0.0019208,0.0019208
6,1196.26,1.51363,1.5819,1.40764,0.65034,0.5852,0.63465,0.36327,1.41788,1.41684,1.26402,0.001901,0.001901,0.001901
7,1351.89,1.44835,1.49293,1.37359,0.65237,0.50673,0.56033,0.33439,1.43244,1.60374,1.30139,0.0018812,0.0018812,0.0018812
8,1507.51,1.4328,1.48318,1.36614,0.61502,0.5583,0.57479,0.34156,1.38854,1.54549,1.22883,0.0018614,0.0018614,0.0018614
9,1663.58,1.41847,1.45369,1.35592,0.65626,0.59193,0.64777,0.39507,1.34873,1.36932,1.2266,0.0018416,0.0018416,0.0018416
10,1819.28,1.3872,1.40251,1.34113,0.66758,0.60788,0.64864,0.38529,1.41228,1.44203,1.2911,0.0018218,0.0018218,0.0018218
11,1972.77,1.40088,1.4014,1.34169,0.70639,0.62034,0.67573,0.40905,1.30684,1.32956,1.20022,0.001802,0.001802,0.001802
12,2124.69,1.35033,1.31322,1.30867,0.72083,0.61211,0.6868,0.42515,1.24217,1.36523,1.17367,0.0017822,0.0017822,0.0017822
13,2276.82,1.32153,1.31213,1.30214,0.74781,0.62497,0.69392,0.43027,1.28205,1.28317,1.18708,0.0017624,0.0017624,0.0017624
14,2428.88,1.34688,1.30797,1.30941,0.75099,0.62556,0.70209,0.44127,1.25228,1.2376,1.17504,0.0017426,0.0017426,0.0017426
15,3469.39,1.3373,1.26706,1.28861,0.67198,0.59713,0.66427,0.41062,1.30908,1.26338,1.19589,0.0017228,0.0017228,0.0017228
16,3678.64,1.31675,1.28023,1.29683,0.7014,0.58296,0.64711,0.38581,1.35163,1.29556,1.24946,0.001703,0.001703,0.001703
17,3846.84,1.2896,1.25006,1.26878,0.7335,0.66592,0.68968,0.44074,1.22266,1.18378,1.16533,0.0016832,0.0016832,0.0016832
18,4004.53,1.28825,1.22293,1.2777,0.73121,0.62108,0.68307,0.43912,1.27729,1.14062,1.20532,0.0016634,0.0016634,0.0016634
19,4159.52,1.27717,1.22912,1.27431,0.6849,0.63004,0.66099,0.4032,1.31903,1.31082,1.25066,0.0016436,0.0016436,0.0016436
20,4315.9,1.25746,1.1836,1.25288,0.73841,0.65022,0.71522,0.43804,1.26098,1.173,1.19111,0.0016238,0.0016238,0.0016238
21,4468.44,1.27519,1.20021,1.2604,0.70659,0.67493,0.7175,0.44318,1.22329,1.20369,1.16869,0.001604,0.001604,0.001604
22,4621.05,1.24765,1.17617,1.24866,0.693,0.67937,0.72164,0.46117,1.19172,1.1601,1.174,0.0015842,0.0015842,0.0015842
23,4773.56,1.23405,1.16735,1.25196,0.73909,0.56726,0.65994,0.39553,1.33996,1.24011,1.21576,0.0015644,0.0015644,0.0015644
