epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1412,1.44811,2.44298,1.37434,0.64575,0.33408,0.40695,0.23192,1.54669,2.55254,1.23784,0.000661064,0.000661064,0.000661064
2,32.5859,1.49061,1.94027,1.40755,0.66455,0.53363,0.55953,0.3225,1.42991,1.76698,1.28113,0.00131459,0.00131459,0.00131459
3,47.2843,1.56016,1.8008,1.45893,0.61333,0.45516,0.50515,0.2615,1.64129,1.76015,1.41266,0.00195491,0.00195491,0.00195491
4,62.1235,1.5135,1.6257,1.41898,0.64964,0.53812,0.61117,0.34039,1.44276,1.51116,1.32172,0.0019406,0.0019406,0.0019406
5,77.4914,1.49199,1.57785,1.41839,0.63836,0.58181,0.60645,0.34072,1.47161,1.91843,1.32816,0.0019208,0.0019208,0.0019208
6,92.6649,1.45276,1.48794,1.39728,0.71068,0.54709,0.62355,0.3578,1.45458,1.36941,1.30389,0.001901,0.001901,0.001901
7,107.444,1.42817,1.45647,1.36239,0.63679,0.58969,0.62969,0.36652,1.42066,1.35965,1.30447,0.0018812,0.0018812,0.0018812
8,120.593,1.40663,1.40901,1.36022,0.67352,0.66145,0.68342,0.40227,1.44261,1.24476,1.27119,0.0018614,0.0018614,0.0018614
9,133.684,1.37949,1.41847,1.33447,0.59965,0.60115,0.59413,0.36109,1.38625,1.38759,1.29405,0.0018416,0.0018416,0.0018416
10,147.052,1.36998,1.35096,1.33784,0.72465,0.60776,0.65738,0.39301,1.31677,1.32111,1.22592,0.0018218,0.0018218,0.0018218
11,160.342,1.35994,1.33823,1.32073,0.71546,0.61659,0.67966,0.42256,1.26549,1.22865,1.18155,0.001802,0.001802,0.001802
12,173.566,1.30385,1.2942,1.30178,0.65716,0.61887,0.63769,0.40278,1.30671,1.34306,1.25955,0.0017822,0.0017822,0.0017822
13,186.906,1.31989,1.2816,1.30673,0.68803,0.67252,0.69838,0.43426,1.26115,1.22289,1.1679,0.0017624,0.0017624,0.0017624
14,200.222,1.30352,1.2784,1.2992,0.72924,0.66143,0.72027,0.44409,1.31967,1.165,1.2099,0.0017426,0.0017426,0.0017426
15,213.598,1.28892,1.24229,1.28805,0.74824,0.58642,0.68462,0.42394,1.28174,1.21652,1.21121,0.0017228,0.0017228,0.0017228
16,226.945,1.2764,1.22561,1.2732,0.71949,0.67288,0.7027,0.44083,1.25178,1.28665,1.17936,0.001703,0.001703,0.001703
